"sha256","kind","category","size_bytes","source_rel","dest_rel","reason"
"5a3cef66f7cea05b589632b31038303767014f34e697979006facba9f441c84d","good","archive","17140","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module/src/test/resources/test-documents/testODTStyles3.odt","good/archive/odtstyles3.odt",""
"b69f52050214f633e18b9e398d2be2ca8e9eb84606ce072f05c5b0f6fae22624","good","archive","14802","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module/src/test/resources/test-documents/testOpenOffice-autotext.bau","good/archive/openoffice-autotext.bau",""
"5a8446512db5629a3e5cff53d960ab2335c1c4e8ef093707dfa331ab07ae6f4e","good","archive","1741","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module/src/test/resources/test-documents/testOpenOffice-extension.oxt","good/archive/openoffice-extension.oxt",""
"72dab3f71c943c18c8e8a9aea6b5f1126014c83c11e44cfce618a6c0d2bef889","good","archive","10977","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module/src/test/resources/test-documents/testOpenOffice2.odf","good/archive/openoffice2.odf",""
"e1e3c4c29e66c8fbca679e9a36e2ead180aa2302a27ac846bd98bd5060a7b902","good","archive","10706","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module/src/test/resources/test-documents/testOpenOfficeInAZip.zip","good/archive/openofficeinazip.zip",""
"a276a2784a9ce6ea4aba7fe2cbfd555fe2edecf4db7dbe1f0998c803a150f446","good","archive","134152","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testPages.pages","good/archive/pages.pages",""
"1819dd1f4a04fd22018afcaa3743802f891e092c0974a4193498fb4a1173f2ee","good","archive","237567","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testPages2013.pages","good/archive/pages2013.pages",""
"b6faecca227e13fc705a35332dda005242ae1b1a1dde4939470730fb4dc68efa","good","archive","154546","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testPagesComments.pages","good/archive/pagescomments.pages",""
"dd6782cd124201783f0e4103a0860ca6202f07fd86b939f02e3694600f12cbdd","good","archive","168501","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testPagesHeadersFootersAlphaLower.pages","good/archive/pagesheadersfootersalphalower.pages",""
"f1652c7d3c38e737e74066d9403c3a64660e71dfe37ce494bcd1351b92619059","good","archive","168995","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testPagesHeadersFootersAlphaUpper.pages","good/archive/pagesheadersfootersalphaupper.pages",""
"99d50cc7c6eaa14bb3c3b87c8163134673268da22846b1832674f40a54041dc8","good","archive","177328","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testPagesHeadersFootersFootnotes.pages","good/archive/pagesheadersfootersfootnotes.pages",""
"b631ff2c6bd44bd227ce077113d800ea578927fb52de1b3c265d9b36e4fde917","good","archive","103923","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testPagesHeadersFootersRomanLower.pages","good/archive/pagesheadersfootersromanlower.pages",""
"703a25faf3e75076aad4116abceab45c4f50af426077cbc823644fbe66aca424","good","archive","174197","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testPagesHeadersFootersRomanUpper.pages","good/archive/pagesheadersfootersromanupper.pages",""
"6157fe7a95f7bc7d42251872f990d2f2d589f7f5e25a52b58e25c14cc447a4b2","good","archive","66480","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testPagesLayout.pages","good/archive/pageslayout.pages",""
"4c795ce701a8ae1e796f6732798d0aebd32422430ccf6c6f2ef3bfe9954a6326","good","archive","40102","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testPPT.potm","good/archive/ppt.potm",""
"74d8c6721497c7103c082d489ed913d5cf509ed44520f0e15a55302e1faacb8f","good","archive","204","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/quine.gz","good/archive/quine.gz",""
"f905a69724ba78830b37b65879e37e0509059327de7952b5a2fafc73fdd3c292","good","archive","7406","tika-parsers/tika-parsers-standard/tika-parsers-standard-package/src/test/resources/test-documents/testStarOffice-6.0-calc.sxc","good/archive/staroffice-6.0-calc.sxc",""
"91fe28e96cdfbc66a17c704ef468c6fdccba131ba2e73534ce4681995ad4d17a","good","archive","14593","tika-parsers/tika-parsers-standard/tika-parsers-standard-package/src/test/resources/test-documents/testStarOffice-6.0-draw.sxd","good/archive/staroffice-6.0-draw.sxd",""
"a8c2ef7f677c67b28b999dc5bdeca86be2214b6a523f7bd71987c2bb2d6ddef6","good","archive","7581","tika-parsers/tika-parsers-standard/tika-parsers-standard-package/src/test/resources/test-documents/testStarOffice-6.0-draw.sxi","good/archive/staroffice-6.0-draw.sxi",""
"ea7e92cdf5b31769d99a265cb2c3d3e4fab9e6a7008345585ee72911269b4523","good","archive","5669","tika-parsers/tika-parsers-standard/tika-parsers-standard-package/src/test/resources/test-documents/testStarOffice-6.0-writer-template.stw","good/archive/staroffice-6.0-writer-template.stw",""
"afcdd7f552ce6cd16dc81f12e66edbe011e2a4d6d16654ea00fbf4717ab19bcd","good","archive","5200","tika-parsers/tika-parsers-standard/tika-parsers-standard-package/src/test/resources/test-documents/testStarOffice-6.0-writer.sxw","good/archive/staroffice-6.0-writer.sxw",""
"ecad298a770d697ef8a695b3629892c9c83b8780b918e8bed483241da50d5477","good","archive","222","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/testSVG.svgz","good/archive/svg.svgz",""
"98b7abc1a129c66550c12ff02fcbe9af1058de36b392cceed9fc1989510c5650","good","archive","89554","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/tableHeaders.numbers","good/archive/tableheaders.numbers",""
